5679
12
4480800
200
0 1 1 1700 524 13 (D 1,1,1) (S 25,1,2) (S 26,2,1) (S 28,2,8) (S 37,8,7) (S 33,7,1) (S 27,2,3) (S 29,3,8) (S 38,8,9) (S 40,9,5) (S 57,5,15) (S 65,20,15) (S 21,7,24)
0 1 2 1698 433 9 (D 1,1,1) (S 34,7,4) (S 4,4,4) (S 51,4,15) (S 54,15,5) (S 5,5,5) (S 20,5,11) (S 66,9,20) (S 63,8,7)
0 1 3 1688 290 7 (D 1,1,1) (S 35,8,2) (S 36,8,3) (S 17,4,2) (S 2,2,2) (S 42,2,11) (S 44,11,5)
0 1 4 1703 576 8 (D 1,1,1) (S 50,4,8) (S 39,9,3) (S 30,4,5) (S 31,5,1) (S 1,1,1) (S 3,3,3) (S 77,15,16)
0 1 5 1675 403 7 (D 1,1,1) (S 52,4,9) (S 9,9,9) (S 23,9,26) (S 72,26,27) (S 73,27,11) (S 61,7,8)
0 1 6 1665 414 7 (D 1,1,1) (S 53,15,4) (S 55,15,20) (S 22,20,10) (S 10,10,10) (S 67,10,9) (S 74,27,14)
0 1 7 1634 411 8 (D 1,1,1) (S 43,2,6) (S 6,6,6) (S 59,6,7) (S 7,7,7) (S 18,7,11) (S 45,11,2) (S 48,3,8)
0 1 8 1658 627 7 (D 1,1,1) (S 41,2,3) (S 56,5,9) (S 58,6,2) (S 60,7,2) (S 8,8,8) (S 78,16,12)
0 1 9 1691 608 7 (D 1,1,1) (S 32,1,5) (S 49,13,3) (S 46,3,11) (S 19,8,13) (S 47,3,13) (S 64,8,12)
0 1 10 1648 457 7 (D 1,1,1) (S 11,11,11) (S 68,11,24) (S 69,24,12) (S 12,12,12) (S 71,12,24) (S 70,12,8)
0 1 11 1523 527 6 (D 1,1,1) (S 62,8,3) (S 16,16,16) (S 79,16,15) (S 15,15,15) (S 24,15,14)
0 1 12 1482 409 5 (D 1,1,1) (S 14,14,14) (S 76,14,13) (S 13,13,13) (S 75,13,14)
