27687
11
259967199
200
0 1 1 2000 1723  33 (D 0,1,1) (S 304,325,97) (S 97,97,97) (S 305,97,326) (S 402,423,187) (S 187,187,187) (S 42,42,42) (S 407,42,429) (S 406,429,276) (S 262,276,42) (S 226,231,171) (S 171,171,171) (S 174,174,174) (S 351,174,371) (S 352,370,174) (S 279,174,295) (S 350,295,370) (S 404,426,425) (S 85,85,85) (S 439,85,108) (S 108,108,108) (S 434,108,45) (S 45,45,45) (S 263,45,277) (S 339,362,361) (S 416,436,435) (S 368,387,388) (S 414,433,432) (S 64,64,64) (S 419,64,153) (S 153,153,153) (S 209,209,208) (D 0,1,1)
0 1 2 2000 2170  35 (D 0,1,1) (S 68,68,68) (S 331,68,286) (S 271,286,56) (S 56,56,56) (S 395,413,68) (S 384,369,196) (S 196,196,196) (S 248,196,258) (S 348,258,369) (S 458,433,291) (S 275,291,292) (S 400,291,420) (S 385,196,404) (S 308,257,219) (S 379,219,60) (S 60,60,60) (S 278,60,206) (S 208,206,207) (S 267,207,53) (S 53,53,53) (S 320,285,255) (S 246,255,256) (S 294,256,313) (S 345,313,367) (S 373,367,209) (S 378,367,255) (S 270,285,55) (S 55,55,55) (S 287,55,297) (S 360,297,378) (S 281,297,298) (S 444,347,464) (S 253,264,263) (D 0,1,1)
0 1 3 2000 3487  40 (D 0,1,1) (S 422,439,440) (S 399,418,419) (S 243,252,253) (S 401,421,422) (S 293,311,312) (S 216,221,220) (S 367,386,385) (S 374,394,393) (S 440,459,458) (S 217,223,222) (S 284,302,303) (S 23,23,23) (S 237,23,243) (S 443,243,463) (S 283,23,301) (S 324,342,341) (S 465,341,483) (S 149,149,149) (S 464,149,160) (S 160,160,160) (S 325,343,344) (S 301,322,321) (S 405,427,428) (S 447,427,465) (S 457,465,477) (S 473,488,451) (S 475,451,3) (S 3,3,3) (S 2,2,2) (S 205,2,1) (S 1,1,1) (S 204,1,204) (S 469,468,105) (S 105,105,105) (S 328,346,348) (S 424,197,96) (S 417,238,318) (S 418,110,195) (D 0,1,1)
0 1 4 2000 2886  38 (D 0,1,1) (S 431,448,449) (S 252,249,36) (S 36,36,36) (S 280,36,296) (S 319,338,208) (S 241,208,249) (S 315,336,209) (S 448,466,467) (S 338,206,218) (S 247,218,257) (S 309,257,330) (S 215,219,218) (S 316,285,183) (S 183,183,183) (S 341,183,364) (S 347,364,184) (S 184,184,184) (S 299,184,319) (S 323,319,340) (S 355,319,298) (S 393,298,412) (S 321,55,184) (S 408,364,190) (S 190,190,190) (S 214,190,217) (S 459,478,313) (S 435,453,454) (S 306,328,327) (S 327,346,347) (S 423,441,96) (S 231,238,28) (S 28,28,28) (S 272,287,288) (S 26,26,26) (S 311,26,332) (S 10,10,10) (D 0,1,1)
0 1 5 2000 2161  34 (D 0,1,1) (S 185,185,185) (S 449,185,468) (S 462,480,339) (S 322,339,329) (S 307,329,299) (S 282,299,300) (S 326,345,197) (S 197,197,197) (S 96,96,96) (S 349,96,329) (S 453,474,473) (S 298,318,317) (S 313,335,78) (S 78,78,78) (S 310,78,331) (S 386,331,288) (S 340,331,363) (S 232,28,239) (S 366,384,44) (S 44,44,44) (S 354,44,372) (S 213,215,216) (S 446,215,123) (S 123,123,123) (S 89,89,89) (S 381,89,401) (S 398,417,366) (S 463,482,481) (S 477,492,155) (S 155,155,155) (S 233,241,240) (S 234,240,242) (D 0,1,1)
0 1 6 2000 2761  44 (D 0,1,1) (S 438,457,316) (S 297,316,75) (S 75,75,75) (S 343,75,92) (S 92,92,92) (S 330,350,351) (S 63,63,63) (S 428,63,445) (S 192,192,192) (S 410,192,71) (S 71,71,71) (S 329,349,80) (S 80,80,80) (S 314,80,70) (S 70,70,70) (S 295,70,314) (S 370,314,389) (S 369,389,390) (S 387,390,405) (S 358,376,375) (S 229,235,226) (S 289,226,307) (S 290,307,308) (S 141,141,141) (S 292,141,310) (S 420,310,225) (S 467,225,476) (S 456,476,102) (S 102,102,102) (S 403,424,309) (S 291,309,179) (S 179,179,179) (S 84,84,84) (S 332,84,72) (S 72,72,72) (S 218,224,225) (S 219,224,226) (S 302,235,323) (S 223,10,228) (S 148,148,148) (S 442,148,462) (S 221,6,16) (D 0,1,1)
0 1 7 1999 2510  45 (D 0,1,1) (S 388,406,278) (S 264,278,50) (S 50,50,50) (S 362,279,380) (S 468,380,406) (S 356,278,254) (S 244,254,172) (S 172,172,172) (S 210,172,210) (S 211,212,211) (S 265,278,279) (S 222,227,10) (S 357,374,373) (S 466,484,358) (S 436,358,106) (S 106,106,106) (S 371,106,332) (S 365,332,186) (S 186,186,186) (S 336,358,260) (S 257,260,269) (S 249,260,259) (S 34,34,34) (S 245,34,20) (S 20,20,20) (S 224,20,229) (S 261,275,41) (S 41,41,41) (S 250,20,261) (S 427,443,444) (S 450,469,470) (S 451,471,472) (S 342,365,366) (S 24,24,24) (S 276,24,293) (S 159,159,159) (S 445,159,110) (S 110,110,110) (S 377,110,398) (S 274,290,230) (S 225,230,22) (S 22,22,22) (S 254,266,265) (D 0,1,1)
0 1 8 1999 2444  44 (D 0,1,1) (S 474,488,489) (S 432,451,450) (S 472,486,487) (S 476,490,491) (S 203,203,203) (S 471,203,202) (S 202,202,202) (S 121,121,121) (S 394,121,120) (S 120,120,120) (S 390,240,409) (S 100,100,100) (S 359,100,377) (S 93,93,93) (S 344,93,7) (S 7,7,7) (S 258,270,271) (S 433,452,62) (S 62,62,62) (S 452,62,150) (S 150,150,150) (S 409,360,430) (S 426,430,442) (S 411,431,133) (S 133,133,133) (S 337,359,360) (S 98,98,98) (S 391,98,410) (S 30,30,30) (S 235,30,29) (S 29,29,29) (S 455,29,306) (S 288,306,305) (S 392,305,411) (S 128,128,128) (S 236,128,214) (S 296,315,74) (S 74,74,74) (S 372,392,391) (S 389,408,407) (S 94,94,94) (S 412,94,251) (D 0,1,1)
0 1 9 2000 2721  30 (D 0,1,1) (S 176,176,176) (S 273,176,289) (S 430,415,447) (S 396,415,414) (S 266,280,51) (S 51,51,51) (S 260,274,272) (S 259,272,273) (S 461,273,245) (S 255,245,267) (S 429,268,446) (S 256,268,245) (S 238,245,244) (S 242,251,250) (S 413,251,268) (S 268,281,282) (S 353,94,178) (S 178,178,178) (S 76,76,76) (S 300,76,320) (S 312,334,333) (S 230,237,236) (S 303,324,76) (S 5,5,5) (S 415,5,434) (S 251,262,205) (S 119,119,119) (S 206,119,4) (D 0,1,1)
0 1 10 1984 3369  41 (D 0,1,1) (S 334,355,354) (S 239,246,247) (S 240,247,248) (S 333,353,352) (S 470,485,188) (S 188,188,188) (S 375,188,395) (S 346,368,353) (S 460,479,461) (S 441,461,460) (S 335,356,357) (S 421,438,437) (S 101,101,101) (S 361,101,379) (S 364,232,383) (S 380,399,400) (S 228,234,25) (S 25,25,25) (S 227,233,232) (S 59,59,59) (S 277,59,294) (S 363,381,382) (S 212,213,214) (S 111,111,111) (S 382,111,392) (S 4,4,4) (S 207,4,205) (S 269,283,284) (S 318,284,73) (S 73,73,73) (S 437,455,456) (S 454,455,475) (S 383,402,403) (S 67,67,67) (S 317,337,16) (S 16,16,16) (S 6,6,6) (S 220,6,177) (S 177,177,177) (D 0,1,1)
0 1 11 618 1455  7 (D 0,1,1) (S 285,304,67) (S 286,67,177) (S 425,177,337) (S 376,397,396) (S 397,397,416) (D 0,1,1)
