55169
77
149079500
200
0 1 1 119 324  11 (D 0,1,1) (S 181,1,116) (S 370,116,115) (S 180,115,116) (S 371,116,1) (S 182,116,117) (S 374,117,2) (S 184,2,117) (S 192,121,122) (S 329,87,86) (D 0,1,1)
0 1 2 119 251  10 (D 0,1,1) (S 183,115,117) (S 372,117,116) (S 369,115,114) (S 368,114,113) (S 366,113,112) (S 23,112,112) (S 176,112,113) (S 172,107,110) (D 0,1,1)
0 1 3 120 314  9 (D 0,1,1) (S 373,117,115) (S 186,117,119) (S 187,119,120) (S 377,120,119) (S 376,119,117) (S 191,120,121) (S 382,122,121) (D 0,1,1)
0 1 4 118 303  7 (D 0,1,1) (S 185,117,118) (S 190,118,121) (S 381,121,120) (S 196,120,123) (S 139,86,87) (D 0,1,1)
0 1 5 118 398  6 (D 0,1,1) (S 179,114,115) (S 188,114,118) (S 380,121,118) (S 333,91,90) (D 0,1,1)
0 1 6 119 362  7 (D 0,1,1) (S 178,113,114) (S 367,113,103) (S 354,103,91) (S 164,91,103) (S 143,90,91) (D 0,1,1)
0 1 7 120 620  12 (D 0,1,1) (S 365,112,107) (S 175,107,112) (S 364,112,110) (S 173,110,111) (S 363,111,110) (S 362,110,107) (S 169,107,108) (S 359,108,107) (S 356,105,104) (S 155,97,98) (D 0,1,1)
0 1 8 119 242  5 (D 0,1,1) (S 379,118,91) (S 189,91,118) (S 375,118,117) (D 0,1,1)
0 1 9 120 352  6 (D 0,1,1) (S 378,118,114) (S 358,107,106) (S 357,106,105) (S 2,105,105) (D 0,1,1)
0 1 10 120 715  7 (D 0,1,1) (S 174,110,112) (S 360,108,106) (S 168,106,107) (S 170,106,108) (S 345,98,97) (D 0,1,1)
0 1 11 119 534  10 (D 0,1,1) (S 5,122,122) (S 383,122,87) (S 15,87,87) (S 193,87,122) (S 194,122,123) (S 384,123,122) (S 327,85,84) (S 275,46,43) (D 0,1,1)
0 1 12 117 472  8 (D 0,1,1) (S 195,123,124) (S 199,124,126) (S 389,126,124) (S 385,124,123) (S 386,123,120) (S 404,138,136) (D 0,1,1)
